Team,Tournament,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow Cards,Red Cards
Paris Saint-Germain,Ligue 1,44,19,69.6,91.1,8,7.02,20,0
Bayern Munich,Bundesliga,48,19.6,72.0,90.2,12,6.99,24,0
Liverpool,Premier League,47,16.6,56.9,86.4,10.9,6.89,41,1
Real Madrid,LaLiga,43,15.2,60.6,89.5,8.4,6.87,32,2
Inter,Serie A,45,15.9,60.3,88.9,15.3,6.84,26,0
Barcelona,LaLiga,51,16.8,67.2,87.9,9.2,6.83,31,2
Arsenal,Premier League,39,13.8,55.4,86.5,13.7,6.79,41,3
Eintracht Frankfurt,Bundesliga,36,15.3,48.9,83.6,14.1,6.78,26,1
Bayer Leverkusen,Bundesliga,40,16.4,60.5,88.1,12.8,6.77,27,0
Napoli,Serie A,30,14,52.5,86.4,13.7,6.77,23,0
Atalanta,Serie A,43,14.9,56.4,85.7,16,6.77,36,0
Nice,Ligue 1,35,13.9,47.3,83.9,11.6,6.76,33,2
Monaco,Ligue 1,28,14.4,56.2,82.7,13.1,6.75,29,3
Chelsea,Premier League,39,15.8,58.3,87.0,9.8,6.74,58,1
Mainz 05,Bundesliga,30,12.4,48.1,77.6,18.1,6.74,32,3
Newcastle,Premier League,34,14.1,50.9,83.6,12.5,6.73,43,1
Tottenham,Premier League,42,14.9,57.8,85.7,11,6.73,40,1
Atletico Madrid,LaLiga,33,11.9,51.6,83.9,12.9,6.73,39,1
Manchester City,Premier League,36,17.1,61.4,90.3,8,6.73,40,1
Nottingham Forest,Premier League,29,12.9,39.5,78.5,15.1,6.72,45,2
Paris Saint-Germain,Ligue 1,44,19,69.6,91.1,8,7.02,20,0
Bayern Munich,Bundesliga,48,19.6,72.0,90.2,12,6.99,24,0
Liverpool,Premier League,47,16.6,56.9,86.4,10.9,6.89,41,1
Real Madrid,LaLiga,43,15.2,60.6,89.5,8.4,6.87,32,2
Inter,Serie A,45,15.9,60.3,88.9,15.3,6.84,26,0
Barcelona,LaLiga,51,16.8,67.2,87.9,9.2,6.83,31,2
Arsenal,Premier League,39,13.8,55.4,86.5,13.7,6.79,41,3
Eintracht Frankfurt,Bundesliga,36,15.3,48.9,83.6,14.1,6.78,26,1
Bayer Leverkusen,Bundesliga,40,16.4,60.5,88.1,12.8,6.77,27,0
Napoli,Serie A,30,14,52.5,86.4,13.7,6.77,23,0
Atalanta,Serie A,43,14.9,56.4,85.7,16,6.77,36,0
Nice,Ligue 1,35,13.9,47.3,83.9,11.6,6.76,33,2
Monaco,Ligue 1,28,14.4,56.2,82.7,13.1,6.75,29,3
Marseille,Ligue 1,37,12.7,61.0,89.4,8.9,6.72,25,5
AC Milan,Serie A,26,15,54.7,88.9,11.6,6.71,29,3
Bournemouth,Premier League,30,16.7,46.0,79.1,15.1,6.71,48,0
Brentford,Premier League,38,10.7,47.8,81.4,16.9,6.71,31,1
Juventus,Serie A,31,13.1,60.9,89.6,10,6.70,36,1
Fiorentina,Serie A,31,13.1,51.8,83.2,14.4,6.69,32,1
Borussia M.Gladbach,Bundesliga,25,13.3,50.0,82.7,15.4,6.69,26,1
RB Leipzig,Bundesliga,24,11.5,51.3,83.1,14,6.69,29,1
Lyon,Ligue 1,29,13,55.1,84.4,10.4,6.68,30,0
Lille,Ligue 1,26,12.1,57.9,86.2,12.8,6.68,45,1
Wolfsburg,Bundesliga,33,12.8,43.8,77.2,17.2,6.66,44,2
Auxerre,Ligue 1,24,11.6,42.1,77.9,12.9,6.66,33,3
Everton,Premier League,15,11.4,39.5,78.2,14.4,6.65,40,1
Borussia Dortmund,Bundesliga,30,12.8,59.4,87.0,13.1,6.64,36,4
Fulham,Premier League,30,13.6,52.5,84.5,12.9,6.64,47,2
VfB Stuttgart,Bundesliga,29,15,59.5,85.9,13.1,6.63,27,2
Werder Bremen,Bundesliga,26,11.9,49.5,82.4,12.9,6.63,24,2
Roma,Serie A,26,13.8,56.5,85.8,11.8,6.63,37,1
Strasbourg,Ligue 1,28,10.6,49.9,85.1,10.2,6.63,32,0
Manchester United,Premier League,23,13.3,53.6,84.8,11.6,6.61,47,2
Marseille,Ligue 1,37,12.7,61.0,89.4,8.9,6.72,25,5
AC Milan,Serie A,26,15,54.7,88.9,11.6,6.71,29,3
Bournemouth,Premier League,30,16.7,46.0,79.1,15.1,6.71,48,0
Athletic Club,LaLiga,29,11.7,47.2,80.8,12.9,6.61,37,3
Real Sociedad,LaLiga,16,10.9,55.5,82.3,14.5,6.61,42,1
Crystal Palace,Premier League,21,14.1,43.4,77.9,14.5,6.61,45,1
Brighton,Premier League,30,14.7,52.4,85.5,13.3,6.61,41,1
Toulouse,Ligue 1,18,11.1,43.7,79.7,14.9,6.61,27,1
Lens,Ligue 1,19,14,54.7,83.2,14.1,6.61,42,4
Villarreal,LaLiga,34,14.7,48.5,84.0,13.6,6.61,53,2
Reims,Ligue 1,23,12.5,45.8,82.6,11.3,6.60,38,1
Real Betis,LaLiga,21,13.7,51.2,82.7,11.7,6.58,41,2
Bologna,Serie A,25,13.6,57.4,83.9,14.6,6.58,27,3
Lazio,Serie A,34,13.6,53.2,86.3,12.3,6.58,50,4
Rennes,Ligue 1,22,11.3,51.6,83.9,12.5,6.58,34,1
Brest,Ligue 1,26,11.6,49.0,80.9,16.4,6.58,29,1
Freiburg,Bundesliga,24,13.7,49.3,80.8,15.7,6.57,21,2
Girona,LaLiga,27,10.8,58.8,88.9,7.9,6.57,48,1
St. Pauli,Bundesliga,12,12,42.7,78.7,14.7,6.56,24,0
Hoffenheim,Bundesliga,20,13,50.5,81.5,16.4,6.56,32,1
Rayo Vallecano,LaLiga,22,12.5,48.1,78.0,12.2,6.55,49,2
Nantes,Ligue 1,20,10.9,40.5,81.0,12.9,6.55,35,1
Aston Villa,Premier League,30,12.9,50.5,85.8,9,6.54,42,2
Athletic Club,LaLiga,29,11.7,47.2,80.8,12.9,6.61,37,3
Real Sociedad,LaLiga,16,10.9,55.5,82.3,14.5,6.61,42,1
Crystal Palace,Premier League,21,14.1,43.4,77.9,14.5,6.61,45,1
Brighton,Premier League,30,14.7,52.4,85.5,13.3,6.61,41,1
Toulouse,Ligue 1,18,11.1,43.7,79.7,14.9,6.61,27,1
Lens,Ligue 1,19,14,54.7,83.2,14.1,6.61,42,4
Villarreal,LaLiga,34,14.7,48.5,84.0,13.6,6.61,53,2
Reims,Ligue 1,23,12.5,45.8,82.6,11.3,6.60,38,1
Real Betis,LaLiga,21,13.7,51.2,82.7,11.7,6.58,41,2
Bologna,Serie A,25,13.6,57.4,83.9,14.6,6.58,27,3
Lazio,Serie A,34,13.6,53.2,86.3,12.3,6.58,50,4
Rennes,Ligue 1,22,11.3,51.6,83.9,12.5,6.58,34,1
Brest,Ligue 1,26,11.6,49.0,80.9,16.4,6.58,29,1
Freiburg,Bundesliga,24,13.7,49.3,80.8,15.7,6.57,21,2
Girona,LaLiga,27,10.8,58.8,88.9,7.9,6.57,48,1
St. Pauli,Bundesliga,12,12,42.7,78.7,14.7,6.56,24,0
Hoffenheim,Bundesliga,20,13,50.5,81.5,16.4,6.56,32,1
Rayo Vallecano,LaLiga,22,12.5,48.1,78.0,12.2,6.55,49,2
Nantes,Ligue 1,20,10.9,40.5,81.0,12.9,6.55,35,1
Aston Villa,Premier League,30,12.9,50.5,85.8,9,6.54,42,2
West Ham,Premier League,24,14.6,46.6,81.5,15.5,6.54,45,2
Mallorca,LaLiga,19,10.2,45.0,79.6,18.4,6.54,41,5
Osasuna,LaLiga,23,9.8,44.6,75.8,16.9,6.54,42,0
Wolves,Premier League,31,10.8,47.6,81.4,12.1,6.54,45,1
Las Palmas,LaLiga,23,10.8,52.4,82.4,13.4,6.53,52,0
Celta Vigo,LaLiga,28,12.2,53.2,84.7,10.8,6.52,40,4
Sevilla,LaLiga,20,11.8,52.6,81.8,14.4,6.52,44,5
Udinese,Serie A,23,10.9,46.0,81.3,15.2,6.52,45,3
Empoli,Serie A,19,9.6,40.5,75.8,14.1,6.52,39,2
Union Berlin,Bundesliga,14,12.4,41.8,76.3,17.5,6.52,44,1
Leganes,LaLiga,18,8.1,41.8,75.8,13.8,6.52,41,3
Genoa,Serie A,16,10.7,42.3,79.2,18.4,6.51,42,0
Angers,Ligue 1,16,9.5,41.9,81.6,11.4,6.51,22,1
Getafe,LaLiga,11,12.6,44.2,70.4,23.1,6.51,49,1
FC Heidenheim,Bundesliga,20,11.8,41.3,75.6,17.3,6.51,34,1
Leicester,Premier League,23,8.7,45.3,82.1,13.6,6.50,48,0
Lecce,Serie A,14,11.9,43.4,79.9,16.5,6.50,35,4
Como,Serie A,21,14.3,54.6,84.8,13.8,6.50,41,2
Torino,Serie A,20,9.9,48.6,83.1,14.1,6.49,45,1
Parma Calcio 1913,Serie A,25,12.4,44.6,81.2,11.5,6.49,30,4
West Ham,Premier League,24,14.6,46.6,81.5,15.5,6.54,45,2
Monza,Serie A,17,9.3,48.5,82.8,18.3,6.48,46,3
Ipswich,Premier League,20,9.6,40.2,80.0,15.3,6.45,53,2
Deportivo Alaves,LaLiga,21,10.9,42.2,72.8,15.7,6.44,47,2
Augsburg,Bundesliga,17,12.4,41.9,78.6,17.3,6.44,39,2
Cagliari,Serie A,18,13.2,46.9,79.8,18.4,6.43,33,3
Saint-Etienne,Ligue 1,15,10.1,41.9,81.0,10.8,6.43,36,1
Le Havre,Ligue 1,12,9.2,42.1,81.4,12.6,6.43,26,2
Real Valladolid,LaLiga,13,8.5,41.2,79.4,17.4,6.42,54,2
Espanyol,LaLiga,17,9.8,40.5,78.2,12.3,6.42,51,0
Venezia,Serie A,18,10.4,43.6,79.3,13.7,6.42,31,1
Valencia,LaLiga,17,9.6,48.3,79.2,12.1,6.40,40,1
Verona,Serie A,24,9.9,38.6,76.6,16.3,6.40,47,6
Holstein Kiel,Bundesliga,21,11.2,43.6,77.8,17.1,6.40,35,2
Montpellier,Ligue 1,15,11.8,46.9,82.1,11.4,6.38,46,4
Bochum,Bundesliga,13,11.9,41.1,73.6,19.3,6.36,29,1
Southampton,Premier League,12,9.4,52.4,87.2,10.7,6.32,58,3
